prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
100.0,0.84,595,595,5,3076,0,8.031385
100.0,1.07,801,801,7,8546,0,9.053219
76.4,0.44,1794,2347,8,4230,1,8.349957
100.0,0.35,202,202,6,267,1,5.587249
92.7,0.32,127,137,7,162,0,5.087596
56.7,0.29,161,284,8,1588,0,7.370231
100.0,1.99,208,208,6,208,1,5.337538
78.7,0.13,207,263,7,359,1,5.883322
74.1,0.43,235,317,6,949,1,6.855409
45.5,0.07,276,606,7,710,1,6.565265
87.4,0.33,188,215,8,1162,1,7.057898
100.0,0.94,156,156,7,1249,1,7.130098
86.4,0.37,10149,11753,5,15602,0,9.655154
64.6,0.37,148,229,13,4228,1,8.349484
93.0,1.0,251,270,10,996,1,6.903747
89.5,0.53,213,238,15,377,1,5.932245
100.0,1.6,580,580,33,889,1,6.790097
100.0,2.4,154,154,40,199,1,5.293305
100.0,0.76,416,416,24,435,1,6.075346
68.6,0.45,177,258,18,301,0,5.70711
63.3,0.28,927,1465,8,2468,0,7.811163
100.0,0.7,1147,1147,25,2174,1,7.684324
89.6,0.38,7843,8756,19,19871,0,9.897017
88.8,0.4,4402,4956,10,19871,0,9.897017
58.6,0.18,184,314,7,644,0,6.467699
100.0,1.07,356,356,6,593,1,6.385194
100.0,0.2,3701,3701,33,6769,0,8.820108
100.0,0.62,241,241,7,373,1,5.921578
56.2,0.18,406,723,6,1035,0,6.942157
100.0,0.85,122,122,35,196,1,5.278115
61.8,0.45,792,1281,6,1843,0,7.51915
75.7,0.3,184,243,7,271,0,5.602119
100.0,0.39,104,104,27,207,1,5.332719
100.0,0.47,2014,2014,8,3511,0,8.163656
100.0,0.11,114,114,7,134,1,4.89784
100.0,0.83,206,206,31,290,1,5.669881
61.2,0.74,8322,13591,7,17986,0,9.797349
100.0,1.15,411,411,26,690,1,6.536692
100.0,0.6,556,556,16,891,0,6.792345
100.0,0.18,125,125,5,204,0,5.31812
68.0,0.25,385,566,5,879,0,6.778785
79.8,0.36,285,357,6,639,0,6.459905
59.4,0.3,368,620,5,903,0,6.805723
100.0,1.41,149,149,8,250,1,5.521461
61.6,0.2,178,289,8,599,0,6.395262
81.0,0.78,328,405,20,609,0,6.411819
33.5,0.46,85,254,9,425,1,6.052089
65.1,0.11,10327,15857,8,41926,0,10.64366
100.0,1.08,277,277,26,465,1,6.142037
83.7,0.31,1626,1943,24,2364,0,7.76811
89.8,0.17,115,128,7,225,0,5.416101
100.0,0.38,174,174,7,545,1,6.300786
75.8,0.26,424,559,7,780,0,6.659294
66.6,0.15,702,1054,9,1145,0,7.04316
85.1,0.1,549,645,29,1053,1,6.959399
100.0,0.53,231,231,5,278,0,5.627621
100.0,0.82,148,148,5,189,1,5.241747
90.5,0.44,344,380,19,479,1,6.1717
100.0,0.99,76,76,7,4198,1,8.342363
67.6,0.77,583,863,8,978,0,6.885509
100.0,4.06,343,343,7,3290,1,8.098643
75.0,0.2,645,860,11,1015,0,6.922644
100.0,0.74,250,250,25,441,1,6.089045
89.9,0.39,116,129,7,177,0,5.17615
100.0,0.43,596,596,11,781,1,6.660575
100.0,0.13,412,412,8,412,0,6.021023
100.0,0.21,235,235,20,768,0,6.64379
66.9,0.68,113,169,5,176,1,5.170484
89.3,0.53,536,600,18,790,1,6.672033
100.0,1.9,126,126,15,750,1,6.620073
81.5,0.84,4432,5440,8,10683,0,9.276409
80.9,0.42,5138,6353,13,7428,0,8.913012
87.6,0.63,99,113,20,154,1,5.036952
77.0,0.55,151,196,12,221,0,5.398163
99.5,0.96,219,220,7,256,1,5.545177
97.7,0.52,213,218,6,250,1,5.521461
100.0,4.31,292,292,23,429,0,6.061457
100.0,1.27,165,165,5,214,1,5.365976
58.8,0.32,1096,1864,9,8470,0,9.044286
100.0,0.56,293,293,6,412,1,6.021023
100.0,0.29,65,65,20,118,1,4.770685
93.1,0.57,511,549,9,584,1,6.369901
100.0,1.27,165,165,13,207,1,5.332719
100.0,0.35,175,175,19,207,1,5.332719
100.0,0.38,146,146,5,192,1,5.257495
100.0,0.66,121,121,19,207,0,5.332719
56.4,0.2,472,837,12,1522,1,7.327781
87.3,0.28,1832,2098,10,3450,1,8.14613
100.0,0.67,249,249,16,764,1,6.638568
22.1,0.11,166,752,7,3537,1,8.171034
48.6,0.19,402,828,5,1200,0,7.090077
100.0,0.5,166,166,7,247,1,5.509388
65.1,0.63,3205,4926,10,31859,0,10.36907
100.0,0.47,534,534,7,860,1,6.756932
83.4,0.44,2495,2991,32,5277,0,8.571113
100.0,0.78,152,152,11,389,1,5.963579
100.0,0.47,198,198,8,308,1,5.7301
55.7,0.2,141,253,6,307,0,5.726848
100.0,0.43,215,215,8,600,1,6.39693
100.0,1.8,139,139,12,204,1,5.31812
100.0,1.24,360,360,8,783,1,6.663133
100.0,3.16,247,247,11,268,1,5.590987
55.1,0.21,102,185,7,237,1,5.46806
100.0,1.25,99,99,9,151,0,5.01728
71.4,0.62,267,374,5,416,1,6.030685
78.3,0.5,382,488,7,654,1,6.483108
100.0,0.51,574,574,13,831,1,6.72263
100.0,0.77,306,306,11,545,1,6.300786
100.0,0.4,3030,3030,6,4075,0,8.312626
99.1,0.28,111,112,11,144,1,4.969813
100.0,1.02,560,560,8,2409,0,7.786967
78.5,0.34,197,251,9,264,1,5.575949
64.9,0.47,181,279,5,309,1,5.733341
77.5,0.6,110,142,7,190,1,5.247024
58.6,0.37,140,239,7,695,0,6.543912
100.0,0.19,142,142,5,171,1,5.141664
80.0,0.2,557,696,6,889,0,6.790097
100.0,0.47,409,409,6,796,1,6.679599
100.0,0.69,161,161,5,323,1,5.777652
100.0,1.23,265,265,6,265,1,5.57973
42.1,0.19,1217,2892,6,5036,0,8.524367
100.0,2.89,247,247,8,333,1,5.808143
73.4,0.4,91,124,5,173,1,5.153292
77.5,0.1,179,231,5,409,1,6.013715
100.0,0.55,852,852,5,852,1,6.747587
59.1,0.42,272,460,8,1521,1,7.327123
75.3,0.47,440,584,6,753,1,6.624065
92.2,0.62,379,411,17,468,1,6.148468
82.6,0.64,176,213,30,254,0,5.537334
89.8,0.23,132,147,24,540,0,6.291569
95.3,0.41,123,129,5,491,0,6.196444
47.3,0.42,156,330,7,384,0,5.950643
78.6,0.2,971,1236,5,4195,0,8.341649
75.5,0.24,880,1165,20,1306,0,7.174724
100.0,0.82,470,470,16,569,0,6.343881
90.7,0.4,165,182,10,268,0,5.590987
97.2,0.24,106,109,10,124,0,4.820282
60.6,0.19,197,325,6,975,1,6.882438
87.1,0.23,546,627,6,694,0,6.542472
100.0,0.96,93,93,15,104,1,4.644391
79.0,0.16,454,575,8,880,0,6.779922
100.0,1.7,257,257,7,307,1,5.726848
100.0,0.7,213,213,7,720,1,6.579251
100.0,0.67,104,104,7,116,1,4.75359
48.6,0.47,134,276,6,287,1,5.659482
100.0,1.34,115,115,23,194,1,5.267858
100.0,1.02,123,123,15,244,1,5.497168
92.7,0.22,102,110,9,174,1,5.159055
100.0,2.6,132,132,20,205,1,5.32301
100.0,0.17,163,163,23,394,0,5.976351
100.0,1.32,119,119,8,244,1,5.497168
68.7,0.07,572,833,22,833,0,6.725034
100.0,1.33,156,156,23,227,0,5.42495
100.0,1.44,97,97,16,306,1,5.723585
100.0,1.23,2097,2097,10,2868,0,7.96137
100.0,2.34,138,138,5,237,1,5.46806
100.0,2.62,51200,51200,17,51200,1,10.84349
100.0,0.39,136,136,14,334,1,5.811141
100.0,1.43,210,210,8,256,1,5.545177
100.0,0.05,234,234,17,1107,1,7.009409
100.0,4.64,114,114,6,185,1,5.220356
100.0,0.26,161,161,6,737,0,6.602588
100.0,2.51,244,244,5,244,1,5.497168
100.0,0.64,355,355,5,440,0,6.086775
100.0,0.88,403,403,5,437,0,6.079933
100.0,1.3,203,203,8,253,1,5.53339
100.0,0.59,159,159,5,183,1,5.209486
94.5,0.29,596,631,7,631,0,6.447306
100.0,0.52,257,257,7,259,1,5.556828
100.0,0.17,2972,2972,6,4197,0,8.342125
100.0,0.47,389,389,5,531,1,6.274762
78.0,0.56,568,728,12,3924,0,8.274867
88.5,0.43,1899,2146,6,2153,0,7.674617
100.0,0.15,261,261,7,739,0,6.605298
99.9,0.36,847,848,8,976,1,6.883462
100.0,0.37,637,637,22,751,0,6.621406
100.0,0.2,100,100,5,147,1,4.990433
75.7,0.22,2572,3399,9,14204,0,9.561279
100.0,1.66,224,224,21,332,0,5.805135
66.6,0.37,251,377,7,1524,0,7.329094
75.9,0.42,472,622,7,812,0,6.699501
93.8,0.2,105,112,6,142,0,4.955827
86.6,0.11,596,688,10,919,0,6.823286
100.0,1.07,103,103,9,106,1,4.663439
100.0,0.37,437,437,7,446,0,6.100319
100.0,0.73,616,616,7,639,1,6.459905
64.9,0.42,96,148,20,225,1,5.416101
100.0,2.53,134,134,9,191,1,5.252274
100.0,0.3,2851,2851,7,4044,0,8.30499
100.0,0.39,381,381,7,561,0,6.329721
75.3,0.43,290,385,24,1108,0,7.010312
96.8,0.18,274,283,8,315,0,5.752573
100.0,0.29,433,433,9,471,0,6.154858
49.6,1.45,137,276,11,328,0,5.793014
42.4,0.64,772,1821,8,2048,0,7.624619
100.0,0.25,182,182,21,635,1,6.453625
100.0,0.63,214,214,20,268,0,5.590987
100.0,0.32,249,249,7,308,1,5.7301
83.7,0.15,431,515,15,600,0,6.39693
83.5,0.67,71,85,6,101,1,4.61512
85.1,0.23,131,154,4,285,1,5.652489
80.6,0.42,1409,1748,14,3138,0,8.051341
100.0,0.03,255,255,25,266,0,5.583496
100.0,0.87,126,126,7,233,1,5.451038
77.4,0.22,702,907,6,1334,0,7.195937
82.5,3.99,2492,3022,9,3904,0,8.269757
100.0,1.11,4252,4252,33,4483,0,8.408048
100.0,0.09,483,483,9,546,1,6.302619
48.8,0.23,690,1413,5,4100,1,8.318742
100.0,0.08,105,105,5,156,1,5.049856
73.5,0.31,186,253,13,260,0,5.560682
100.0,0.68,1051,1051,5,1094,0,6.997596
82.0,0.41,937,1142,28,6179,0,8.728911
100.0,0.8,547,547,20,869,1,6.767343
77.2,0.74,982,1272,10,1719,0,7.449498
100.0,1.42,104,104,8,141,1,4.94876
90.7,0.36,411,453,5,1380,1,7.229839
100.0,0.89,1275,1275,8,2473,1,7.813187
83.6,0.21,138,165,7,1990,1,7.59589
100.0,1.09,252,252,7,254,0,5.537334
46.9,0.25,345,736,7,1131,1,7.030858
91.2,0.67,198,217,9,313,0,5.746203
76.5,0.47,297,388,5,703,0,6.555357
72.3,0.46,427,591,8,663,1,6.496775
96.5,0.72,245,254,9,348,1,5.852202
82.2,0.27,245,298,7,469,1,6.150603
100.0,0.44,87,87,16,117,0,4.762174
100.0,1.58,123,123,10,123,1,4.812184
100.0,0.33,109,109,7,161,1,5.081404
100.0,0.92,108,108,7,278,1,5.627621
100.0,0.71,174,174,7,241,1,5.484797
100.0,0.55,460,460,5,705,1,6.558198
100.0,2.18,826,826,7,2262,1,7.724005
100.0,0.37,246,246,6,309,0,5.733341
89.4,1.4,152,170,6,181,1,5.198497
100.0,1.48,129,129,7,795,1,6.678342
96.0,2.0,753,784,16,1003,0,6.910751
100.0,0.82,380,380,6,1929,0,7.564757
100.0,3.81,1989,1989,6,3924,0,8.274867
100.0,0.42,155,155,8,210,1,5.347107
100.0,0.53,93,93,9,262,1,5.568345
100.0,1.07,892,892,16,1334,1,7.195937
100.0,0.97,884,884,39,1191,0,7.082549
97.4,0.5,518,532,35,1922,0,7.561121
100.0,0.49,1320,1320,7,1888,0,7.543273
93.7,0.36,699,746,7,1011,0,6.918695
74.0,0.24,1232,1664,6,3733,1,8.224967
91.6,0.75,536,585,5,894,0,6.795706
100.0,0.25,262,262,6,305,0,5.720312
98.6,0.37,207,210,21,312,1,5.743003
77.9,0.37,1170,1501,6,1782,0,7.485492
92.3,0.73,322,349,37,492,1,6.198479
100.0,0.41,634,634,7,2839,0,7.951207
100.0,2.0,188,188,29,283,1,5.645447
100.0,0.39,178,178,36,178,1,5.181784
91.7,0.11,210,229,29,783,1,6.663133
99.8,1.54,475,476,16,681,1,6.523562
98.7,1.23,155,157,16,231,1,5.442418
100.0,1.46,971,971,8,12210,1,9.41001
59.8,0.26,974,1629,9,1826,1,7.509883
100.0,0.89,908,908,14,995,0,6.902743
21.0,0.17,2577,12291,24,20928,0,9.948843
100.0,0.22,251,251,22,363,1,5.894403
100.0,0.12,131,131,9,922,1,6.826545
78.0,0.17,213,273,5,287,1,5.659482
72.0,0.22,683,949,7,2977,0,7.998672
100.0,0.24,114,114,6,247,1,5.509388
90.8,1.27,128,141,6,141,1,4.94876
100.0,1.03,102,102,9,119,1,4.779123
100.0,3.45,212,212,6,232,1,5.446737
100.0,1.99,190,190,8,211,1,5.351858
73.7,0.35,168,228,7,349,1,5.855072
100.0,1.68,555,555,18,2691,1,7.897668
100.0,0.14,1655,1655,6,2555,0,7.845808
100.0,0.33,148,148,5,233,1,5.451038
100.0,0.1,105,105,7,105,1,4.65396
76.3,0.3,161,211,8,856,0,6.75227
54.1,0.22,482,891,6,3277,0,8.094684
76.5,0.25,127,166,5,225,0,5.416101
95.2,0.52,99,104,6,317,1,5.758902
92.0,0.06,613,666,15,1368,0,7.221105
100.0,0.51,284,284,6,340,0,5.828946
100.0,0.87,183,183,9,221,1,5.398163
74.4,0.18,232,312,7,925,0,6.829794
48.9,0.01,116,237,7,2114,1,7.656337
100.0,1.7,231,231,8,231,1,5.442418
100.0,1.87,333,333,6,1687,1,7.430707
100.0,0.53,201,201,7,607,1,6.408529
32.5,0.23,50,154,6,173,1,5.153292
59.2,0.2,177,299,34,404,0,6.001415
100.0,0.51,340,340,27,399,0,5.988961
100.0,2.45,143,143,23,207,0,5.332719
74.5,1.65,602,808,8,1116,0,7.017506
100.0,0.33,2325,2325,21,5158,1,8.548305
87.8,0.46,201,229,8,511,0,6.23637
73.7,0.66,435,590,10,831,0,6.72263
87.1,0.56,1169,1342,10,1706,0,7.441907
75.2,0.3,465,618,19,673,0,6.511745
99.0,0.62,104,105,10,117,1,4.762174
100.0,0.39,213,213,14,848,0,6.742881
89.8,0.43,202,225,6,570,1,6.345636
81.0,0.36,383,473,22,623,1,6.434546
63.7,0.4,135,212,5,274,1,5.613128
100.0,1.15,1691,1691,7,2465,0,7.809947
100.0,0.28,651,651,21,741,1,6.608001
100.0,1.1,238,238,17,266,1,5.583496
100.0,0.1,384,384,7,798,0,6.682108
100.0,0.21,232,232,7,396,0,5.981414
100.0,1.41,317,317,15,1331,1,7.193686
100.0,0.98,327,327,7,640,1,6.461468
100.0,0.43,250,250,5,533,1,6.278522
95.9,0.72,844,880,8,1040,1,6.946976
100.0,0.53,172,172,8,233,0,5.451038
80.7,0.69,384,476,6,626,1,6.439351
96.3,0.22,363,377,5,658,1,6.489205
95.7,1.76,179,187,6,1241,0,7.123673
100.0,1.26,108,108,9,185,1,5.220356
83.9,0.34,302,360,8,731,0,6.594413
100.0,0.28,558,558,6,1939,1,7.569928
61.2,0.39,161,263,7,364,0,5.897154
100.0,0.21,252,252,5,278,0,5.627621
98.1,1.35,259,264,9,316,0,5.755742
75.3,0.62,731,971,11,1142,0,7.040536
100.0,4.36,109,109,29,139,1,4.934474
99.1,0.48,108,109,10,117,1,4.762174
38.7,0.52,118,305,7,341,1,5.831882
84.5,0.81,163,193,14,323,1,5.777652
74.0,0.22,344,465,7,913,0,6.816736
100.0,0.04,125,125,8,185,1,5.220356
100.0,0.03,220,220,6,412,0,6.021023
96.1,0.67,442,460,24,1175,1,7.069024
100.0,2.11,1960,1960,12,5155,1,8.547723
92.3,0.44,192,208,7,223,0,5.407172
100.0,1.0,11008,11008,27,31886,0,10.36992
94.4,0.69,168,178,10,364,1,5.897154
39.4,0.27,263,667,5,944,0,6.850126
96.2,0.32,254,264,7,1697,0,7.436617
100.0,0.19,552,552,16,999,0,6.906755
73.9,0.6,266,360,16,516,1,6.246107
89.0,0.46,938,1054,36,1064,0,6.96979
100.0,0.47,1174,1174,6,1380,0,7.229839
99.9,0.83,3655,3659,15,3725,0,8.222822
59.1,1.12,198,335,36,411,0,6.018593
68.5,0.45,304,444,6,505,0,6.224558
89.9,0.47,402,447,6,561,0,6.329721
88.0,0.18,191,217,7,302,1,5.710427
92.9,0.77,105,113,11,180,1,5.192957
100.0,0.79,3333,3333,7,5062,0,8.529517
100.0,0.12,269,269,8,340,1,5.828946
85.1,0.42,114,134,7,144,0,4.969813
100.0,1.87,938,938,7,1652,0,7.409742
100.0,0.41,198,198,5,244,0,5.497168
100.0,0.73,3941,3941,24,5349,1,8.584665
59.0,0.87,1136,1926,35,3566,0,8.1792
97.8,0.58,616,630,15,630,0,6.44572
78.8,0.82,215,273,5,358,0,5.880533
65.5,0.41,116,177,7,191,0,5.252274
92.9,0.83,117,126,13,208,1,5.337538
85.6,0.16,255,298,7,63681,1,11.06164
66.6,0.49,613,920,6,4628,1,8.43988
83.7,0.3,642,767,26,2617,0,7.869784
87.4,0.45,118,135,7,212,0,5.356586
100.0,0.06,667,667,7,737,0,6.602588
100.0,0.97,110,110,19,111,1,4.70953
85.5,0.67,2294,2683,10,2683,0,7.894691
39.6,0.26,593,1498,6,1580,0,7.36518
66.6,0.69,383,575,16,626,1,6.439351
64.6,0.15,73,113,5,201,1,5.303305
98.9,0.48,1397,1413,11,1877,1,7.53743
100.0,1.54,597,597,20,642,0,6.464588
100.0,0.4,198,198,19,279,0,5.631212
92.5,0.23,2091,2261,6,2442,0,7.800573
95.6,0.57,2177,2278,7,2309,0,7.74457
100.0,0.81,99,99,5,100,1,4.60517
97.7,0.63,171,175,8,232,1,5.446737
88.1,2.0,297,337,7,395,0,5.978886
100.0,0.16,100,100,19,121,1,4.795791
100.0,1.21,300,300,7,5928,1,8.687442
74.6,0.39,209,280,22,294,0,5.68358
76.5,0.8,1823,2383,6,3374,0,8.123855
99.0,1.48,197,199,5,219,1,5.389072
100.0,0.58,4066,4066,7,5800,0,8.665613
72.8,0.52,209,287,13,291,1,5.673323
93.0,0.49,239,257,19,257,1,5.549076
100.0,0.93,96,96,8,121,1,4.795791
100.0,0.43,686,686,7,821,0,6.710523
100.0,0.55,12060,12060,48,43436,0,10.67904
85.7,0.14,240,280,16,511,1,6.23637
100.0,0.5,6524,6524,16,7373,0,8.90558
100.0,0.91,239,239,6,428,1,6.059123
73.2,0.9,235,321,9,321,0,5.771441
97.8,0.48,3649,3731,10,3742,0,8.227375
87.7,0.73,1808,2061,36,2136,0,7.66669
43.1,0.42,889,2061,8,2136,0,7.66669
100.0,0.41,381,381,16,403,0,5.998937
81.1,2.21,13635,16812,39,21524,0,9.976924
85.5,0.44,189,221,8,714,1,6.570883
72.9,0.22,164,225,14,225,0,5.416101
91.0,0.12,352,387,7,599,0,6.395262
100.0,0.16,106,106,18,156,1,5.049856
94.0,1.0,249,265,31,359,1,5.883322
100.0,1.77,366,366,8,427,1,6.056784
77.3,0.75,2171,2807,25,3929,0,8.27614
78.5,0.61,175,223,7,3929,0,8.27614
56.3,0.31,426,756,16,834,1,6.726233
89.7,0.68,87,97,24,115,0,4.744932
92.2,0.31,341,370,31,419,1,6.037871
100.0,0.39,535,535,12,1649,0,7.407924
100.0,0.46,642,642,8,1521,0,7.327123
70.7,0.57,289,409,8,737,0,6.602588
100.0,0.04,178,178,33,199,1,5.293305
65.0,0.55,748,1150,18,1198,0,7.088409
75.7,0.33,1212,1601,5,1765,0,7.475906
100.0,0.03,6925,6925,8,8291,0,9.022926
71.7,0.96,104,145,7,291,1,5.673323
91.6,2.09,120,131,5,195,1,5.273
100.0,0.34,236,236,11,258,0,5.552959
57.8,0.04,63,109,8,355,1,5.872118
84.2,0.22,218,259,19,2843,1,7.952615
94.2,1.03,114,121,7,141,1,4.94876
95.0,0.66,1088,1145,25,1352,0,7.20934
100.0,2.79,134,134,23,147,1,4.990433
19.3,0.54,51,264,25,290,0,5.669881
86.1,0.6,118,137,20,160,0,5.075174
82.0,0.17,273,333,7,456,0,6.122493
68.8,0.57,106,154,6,252,0,5.529429
83.2,0.17,129,155,7,199,1,5.293305
85.2,0.88,167,196,13,271,1,5.602119
100.0,0.83,1152,1152,7,5064,0,8.529912
100.0,0.44,143,143,12,184,0,5.214936
77.2,0.57,700,907,7,1324,1,7.188413
77.3,0.92,279,361,8,441,0,6.089045
100.0,1.37,125,125,13,259,1,5.556828
95.0,0.75,680,716,7,716,0,6.57368
99.6,0.4,222,223,9,553,1,6.315358
74.7,0.78,148,198,7,249,1,5.517453
75.9,0.97,82,108,12,146,0,4.983607
81.3,0.38,61,75,5,219,1,5.389072
91.4,1.12,1564,1711,5,3480,0,8.154788
100.0,0.04,281,281,9,369,0,5.910797
70.6,0.17,89,126,6,202,1,5.308268
100.0,0.39,376,376,7,1100,1,7.003066
80.9,0.15,933,1153,8,1337,0,7.198184
88.8,0.65,1154,1300,8,1792,0,7.491087
100.0,0.79,285,285,7,372,1,5.918894
100.0,0.06,208,208,7,250,1,5.521461
100.0,1.69,2074,2074,13,2358,0,7.765569
47.7,0.32,145,304,5,305,0,5.720312
100.0,1.65,768,768,10,1177,0,7.070724
60.1,0.09,196,326,7,369,0,5.910797
67.3,0.69,230,342,24,410,1,6.016157
100.0,0.03,15107,15107,33,43436,1,10.67904
100.0,0.36,1544,1544,18,5356,0,8.585973
82.5,0.23,680,824,8,5356,0,8.585973
100.0,3.39,171,171,14,187,1,5.231109
87.2,0.44,3994,4578,35,4886,0,8.494129
80.1,0.42,1069,1335,33,1997,0,7.599401
95.0,0.37,113,119,31,145,0,4.976734
100.0,0.67,518,518,6,628,0,6.44254
100.0,0.84,216,216,13,217,0,5.379897
91.6,0.48,163,178,7,197,1,5.283204
85.8,0.19,512,597,48,872,0,6.77079
97.8,0.64,394,403,14,435,0,6.075346
93.4,0.28,1556,1666,17,5105,0,8.537975
75.3,0.44,694,922,6,1218,0,7.104965
79.7,3.05,656,823,37,2102,0,7.650645
100.0,2.79,277,277,37,331,0,5.802118
100.0,0.3,875,875,6,2986,0,8.00169
82.1,0.36,193,235,14,258,1,5.552959
86.7,0.69,8252,9517,24,9556,0,9.164925
84.3,1.12,118,140,30,200,1,5.298317
73.5,0.59,202,275,5,302,1,5.710427
82.8,0.1,425,513,28,693,0,6.54103
100.0,2.44,304,304,24,514,0,6.242223
80.5,0.56,1439,1788,20,2036,0,7.618742
65.1,0.17,861,1322,17,2380,0,7.774856
95.7,0.08,134,140,15,161,0,5.081404
99.2,0.02,122,123,36,301,1,5.70711
100.0,0.87,105,105,35,120,1,4.787492
88.3,0.53,203,230,10,286,0,5.655992
100.0,2.49,119,119,12,291,1,5.673323
100.0,2.52,396,396,13,429,0,6.061457
100.0,0.46,248,248,6,350,0,5.857933
92.6,1.9,729,787,8,1028,0,6.93537
57.6,0.37,345,599,8,1178,0,7.071573
